date,channel,ad_spend,impressions,clicks,conversions,revenue,ctr,conversion_rate,cpc,cpa,roas,month
2025-01-06,TikTok Ads,463,5243,415,36,4210.69,7.92,8.67,1.12,12.86,9.09,2025-01
2025-01-06,Email,343,10916,797,43,5605.9,7.3,5.4,0.43,7.98,16.34,2025-01
2025-01-07,Google Ads,435,10984,610,28,3737.97,5.55,4.59,0.71,15.54,8.59,2025-01
2025-01-07,Meta Ads,241,2759,88,8,543.36,3.19,9.09,2.74,30.12,2.25,2025-01
2025-01-07,TikTok Ads,493,10181,283,18,2380.78,2.78,6.36,1.74,27.39,4.83,2025-01
2025-01-07,Email,326,3482,234,14,488.77,6.72,5.98,1.39,23.29,1.5,2025-01
2025-01-08,Google Ads,210,1951,139,8,287.68,7.12,5.76,1.51,26.25,1.37,2025-01
2025-01-08,Meta Ads,363,3079,144,6,628.93,4.68,4.17,2.52,60.5,1.73,2025-01
2025-01-08,TikTok Ads,71,3717,100,8,300.58,2.69,8.0,0.71,8.88,4.23,2025-01
2025-01-08,Email,302,10692,191,6,413.72,1.79,3.14,1.58,50.33,1.37,2025-01
2025-01-09,Google Ads,285,8311,133,12,1328.77,1.6,9.02,2.14,23.75,4.66,2025-01
2025-01-09,Meta Ads,394,19449,1173,106,7470.03,6.03,9.04,0.34,3.72,18.96,2025-01
2025-01-09,TikTok Ads,98,1768,69,2,103.1,3.9,2.9,1.42,49.0,1.05,2025-01
2025-01-09,Email,108,6490,476,36,2295.43,7.33,7.56,0.23,3.0,21.25,2025-01
2025-01-10,Google Ads,219,16534,1021,62,5264.36,6.18,6.07,0.21,3.53,24.04,2025-01
2025-01-10,Meta Ads,237,7645,178,7,609.32,2.33,3.93,1.33,33.86,2.57,2025-01
2025-01-10,TikTok Ads,320,6232,330,32,3966.72,5.3,9.7,0.97,10.0,12.4,2025-01
2025-01-10,Email,239,12485,505,6,720.11,4.04,1.19,0.47,39.83,3.01,2025-01
2025-01-11,Google Ads,495,6797,342,11,933.0,5.03,3.22,1.45,45.0,1.88,2025-01
2025-01-11,Meta Ads,224,13342,822,46,6048.08,6.16,5.6,0.27,4.87,27.0,2025-01
2025-01-11,TikTok Ads,495,9038,600,34,1486.09,6.64,5.67,0.82,14.56,3.0,2025-01
2025-01-11,Email,100,17002,1174,73,4426.9,6.91,6.22,0.09,1.37,44.27,2025-01
2025-01-12,Google Ads,413,14087,391,30,3880.72,2.78,7.67,1.06,13.77,9.4,2025-01
2025-01-12,Meta Ads,104,5873,71,4,301.44,1.21,5.63,1.46,26.0,2.9,2025-01
2025-01-12,TikTok Ads,293,2481,153,9,1329.68,6.17,5.88,1.92,32.56,4.54,2025-01
2025-01-12,Email,369,11093,193,2,171.9,1.74,1.04,1.91,184.5,0.47,2025-01
2025-01-13,Google Ads,180,15422,494,21,2625.68,3.2,4.25,0.36,8.57,14.59,2025-01
2025-01-13,Meta Ads,356,17438,179,5,391.38,1.03,2.79,1.99,71.2,1.1,2025-01
2025-01-13,TikTok Ads,184,8643,498,16,1295.91,5.76,3.21,0.37,11.5,7.04,2025-01
2025-01-13,Email,70,16708,362,21,1594.87,2.17,5.8,0.19,3.33,22.78,2025-01
2025-01-14,Google Ads,378,12271,685,19,2209.49,5.58,2.77,0.55,19.89,5.85,2025-01
2025-01-14,Meta Ads,216,18216,1446,52,4976.51,7.94,3.6,0.15,4.15,23.04,2025-01
2025-01-14,TikTok Ads,323,13600,205,6,859.52,1.51,2.93,1.58,53.83,2.66,2025-01
2025-01-14,Email,437,11998,184,17,1021.82,1.53,9.24,2.38,25.71,2.34,2025-01
2025-01-15,Google Ads,138,15295,517,49,2061.31,3.38,9.48,0.27,2.82,14.94,2025-01
2025-01-15,Meta Ads,365,11682,825,53,4091.14,7.06,6.42,0.44,6.89,11.21,2025-01
2025-01-15,TikTok Ads,63,17380,436,40,4160.22,2.51,9.17,0.14,1.58,66.04,2025-01
2025-01-15,Email,291,9519,335,27,3598.99,3.52,8.06,0.87,10.78,12.37,2025-01
2025-01-16,Google Ads,314,4300,63,3,214.63,1.47,4.76,4.98,104.67,0.68,2025-01
2025-01-16,Meta Ads,395,7722,489,5,542.27,6.33,1.02,0.81,79.0,1.37,2025-01
2025-01-16,TikTok Ads,102,8218,317,25,1800.6,3.86,7.89,0.32,4.08,17.65,2025-01
2025-01-16,Email,435,4054,255,18,1873.19,6.29,7.06,1.71,24.17,4.31,2025-01
2025-01-17,Google Ads,389,14575,1067,69,9396.21,7.32,6.47,0.36,5.64,24.15,2025-01
2025-01-17,Meta Ads,141,8970,235,18,1039.73,2.62,7.66,0.6,7.83,7.37,2025-01
2025-01-17,TikTok Ads,416,3143,209,11,863.6,6.65,5.26,1.99,37.82,2.08,2025-01
2025-01-17,Email,493,10503,148,10,1491.92,1.41,6.76,3.33,49.3,3.03,2025-01
2025-01-18,Google Ads,477,16149,1177,110,14764.95,7.29,9.35,0.41,4.34,30.95,2025-01
2025-01-18,Meta Ads,313,19922,1106,48,4692.33,5.55,4.34,0.28,6.52,14.99,2025-01
2025-01-18,TikTok Ads,480,13175,938,69,6347.68,7.12,7.36,0.51,6.96,13.22,2025-01
2025-01-18,Email,84,9356,93,4,256.61,0.99,4.3,0.9,21.0,3.05,2025-01
2025-01-19,Google Ads,255,16070,350,24,2209.56,2.18,6.86,0.73,10.62,8.66,2025-01
2025-01-19,Meta Ads,130,1822,67,5,658.91,3.68,7.46,1.94,26.0,5.07,2025-01
2025-01-19,TikTok Ads,469,18327,670,9,1009.99,3.66,1.34,0.7,52.11,2.15,2025-01
2025-01-19,Email,99,15289,395,26,1684.94,2.58,6.58,0.25,3.81,17.02,2025-01
2025-01-20,Google Ads,409,7150,262,7,379.23,3.66,2.67,1.56,58.43,0.93,2025-01
2025-01-20,Meta Ads,437,5425,103,7,432.78,1.9,6.8,4.24,62.43,0.99,2025-01
2025-01-20,TikTok Ads,51,17032,662,34,1712.62,3.89,5.14,0.08,1.5,33.58,2025-01
2025-01-20,Email,439,3198,211,16,663.63,6.6,7.58,2.08,27.44,1.51,2025-01
2025-01-21,Google Ads,103,4452,193,4,321.19,4.34,2.07,0.53,25.75,3.12,2025-01
2025-01-21,Meta Ads,155,10106,113,7,305.17,1.12,6.19,1.37,22.14,1.97,2025-01
2025-01-21,TikTok Ads,309,14859,586,20,1012.59,3.94,3.41,0.53,15.45,3.28,2025-01
2025-01-21,Email,359,18692,222,19,1817.9,1.19,8.56,1.62,18.89,5.06,2025-01
2025-01-22,Google Ads,240,9705,753,70,3482.63,7.76,9.3,0.32,3.43,14.51,2025-01
2025-01-22,Meta Ads,451,11112,210,20,753.31,1.89,9.52,2.15,22.55,1.67,2025-01
2025-01-22,TikTok Ads,267,5841,347,28,1906.43,5.94,8.07,0.77,9.54,7.14,2025-01
2025-01-22,Email,93,16358,1277,99,5587.39,7.81,7.75,0.07,0.94,60.08,2025-01
2025-01-23,Google Ads,211,2409,163,4,367.35,6.77,2.45,1.29,52.75,1.74,2025-01
2025-01-23,Meta Ads,251,5566,328,13,549.69,5.89,3.96,0.77,19.31,2.19,2025-01
2025-01-23,TikTok Ads,495,12382,851,44,5289.35,6.87,5.17,0.58,11.25,10.69,2025-01
2025-01-23,Email,319,18939,1490,118,16372.27,7.87,7.92,0.21,2.7,51.32,2025-01
2025-01-24,Google Ads,400,15596,834,77,9179.34,5.35,9.23,0.48,5.19,22.95,2025-01
2025-01-24,Meta Ads,353,1804,88,2,187.88,4.88,2.27,4.01,176.5,0.53,2025-01
2025-01-24,TikTok Ads,320,14221,767,71,9462.89,5.39,9.26,0.42,4.51,29.57,2025-01
2025-01-24,Email,264,2279,107,7,793.73,4.7,6.54,2.47,37.71,3.01,2025-01
2025-01-25,Google Ads,301,14192,772,50,1563.31,5.44,6.48,0.39,6.02,5.19,2025-01
2025-01-25,Meta Ads,239,8083,335,9,695.62,4.14,2.69,0.71,26.56,2.91,2025-01
2025-01-25,TikTok Ads,345,12093,305,4,528.46,2.52,1.31,1.13,86.25,1.53,2025-01
2025-01-25,Email,262,18771,345,21,1501.56,1.84,6.09,0.76,12.48,5.73,2025-01
2025-01-26,Google Ads,257,13880,205,14,479.16,1.48,6.83,1.25,18.36,1.86,2025-01
2025-01-26,Meta Ads,286,16517,469,13,1554.04,2.84,2.77,0.61,22.0,5.43,2025-01
2025-01-26,TikTok Ads,387,3106,41,2,252.49,1.32,4.88,9.44,193.5,0.65,2025-01
2025-01-26,Email,416,17086,849,73,3596.8,4.97,8.6,0.49,5.7,8.65,2025-01
2025-01-27,Google Ads,102,5831,174,14,1322.73,2.98,8.05,0.59,7.29,12.97,2025-01
2025-01-27,Meta Ads,329,4186,283,26,1378.9,6.76,9.19,1.16,12.65,4.19,2025-01
2025-01-27,TikTok Ads,459,3573,54,2,232.62,1.51,3.7,8.5,229.5,0.51,2025-01
2025-01-27,Email,266,13808,356,13,813.62,2.58,3.65,0.75,20.46,3.06,2025-01
2025-01-28,Google Ads,301,3599,219,16,1087.13,6.09,7.31,1.37,18.81,3.61,2025-01
2025-01-28,Meta Ads,237,5033,261,12,1576.76,5.19,4.6,0.91,19.75,6.65,2025-01
2025-01-28,TikTok Ads,429,9428,136,2,174.32,1.44,1.47,3.15,214.5,0.41,2025-01
2025-01-28,Email,90,2304,164,5,551.85,7.12,3.05,0.55,18.0,6.13,2025-01
2025-01-29,Google Ads,206,18685,1334,63,4931.94,7.14,4.72,0.15,3.27,23.94,2025-01
2025-01-29,Meta Ads,64,19925,660,23,1512.5,3.31,3.48,0.1,2.78,23.63,2025-01
2025-01-29,TikTok Ads,350,19435,657,26,2731.49,3.38,3.96,0.53,13.46,7.8,2025-01
2025-01-29,Email,114,9633,763,27,1311.74,7.92,3.54,0.15,4.22,11.51,2025-01
2025-01-30,Google Ads,394,12372,666,9,672.84,5.38,1.35,0.59,43.78,1.71,2025-01
2025-01-30,Meta Ads,376,9996,471,31,1707.62,4.71,6.58,0.8,12.13,4.54,2025-01
2025-01-30,TikTok Ads,58,17458,1198,76,8625.65,6.86,6.34,0.05,0.76,148.72,2025-01
2025-01-30,Email,393,6475,194,13,1862.97,3.0,6.7,2.03,30.23,4.74,2025-01
2025-01-31,Google Ads,178,8184,327,8,1195.69,4.0,2.45,0.54,22.25,6.72,2025-01
2025-01-31,Meta Ads,185,13875,398,14,1176.47,2.87,3.52,0.46,13.21,6.36,2025-01
2025-01-31,TikTok Ads,112,2622,171,11,663.34,6.52,6.43,0.65,10.18,5.92,2025-01
2025-01-31,Email,188,16988,851,54,4489.53,5.01,6.35,0.22,3.48,23.88,2025-01
2025-02-01,Google Ads,130,9041,507,28,3686.83,5.61,5.52,0.26,4.64,28.36,2025-02
2025-02-01,Meta Ads,441,17725,490,20,1094.41,2.76,4.08,0.9,22.05,2.48,2025-02
2025-02-01,TikTok Ads,212,19458,494,45,6491.32,2.54,9.11,0.43,4.71,30.62,2025-02
2025-02-01,Email,468,8992,397,16,1136.38,4.42,4.03,1.18,29.25,2.43,2025-02
2025-02-02,Google Ads,338,16646,1025,52,7711.41,6.16,5.07,0.33,6.5,22.81,2025-02
2025-02-02,Meta Ads,428,18029,843,59,7707.35,4.68,7.0,0.51,7.25,18.01,2025-02
2025-02-02,TikTok Ads,310,5263,64,3,381.09,1.22,4.69,4.84,103.33,1.23,2025-02
2025-02-02,Email,280,15060,1066,43,2930.39,7.08,4.03,0.26,6.51,10.47,2025-02
2025-02-03,Google Ads,90,16156,234,11,341.59,1.45,4.7,0.38,8.18,3.8,2025-02
2025-02-03,Meta Ads,77,9646,741,60,4551.36,7.68,8.1,0.1,1.28,59.11,2025-02
2025-02-03,TikTok Ads,184,12664,148,5,331.09,1.17,3.38,1.24,36.8,1.8,2025-02
2025-02-03,Email,250,3969,232,5,172.44,5.85,2.16,1.08,50.0,0.69,2025-02
2025-02-04,Google Ads,377,4028,63,2,181.29,1.56,3.17,5.98,188.5,0.48,2025-02
2025-02-04,Meta Ads,317,4629,341,29,2272.55,7.37,8.5,0.93,10.93,7.17,2025-02
2025-02-04,TikTok Ads,467,4067,172,3,318.44,4.23,1.74,2.72,155.67,0.68,2025-02
2025-02-04,Email,82,6941,136,13,1359.05,1.96,9.56,0.6,6.31,16.57,2025-02
2025-02-05,Google Ads,97,18770,635,37,1646.12,3.38,5.83,0.15,2.62,16.97,2025-02
2025-02-05,Meta Ads,456,12555,270,26,3828.13,2.15,9.63,1.69,17.54,8.4,2025-02
2025-02-05,TikTok Ads,111,14081,308,29,1520.52,2.19,9.42,0.36,3.83,13.7,2025-02
2025-02-05,Email,265,7819,597,30,2502.99,7.64,5.03,0.44,8.83,9.45,2025-02
2025-02-06,Google Ads,342,12046,495,13,1151.46,4.11,2.63,0.69,26.31,3.37,2025-02
2025-02-06,Meta Ads,148,18717,1220,30,3827.03,6.52,2.46,0.12,4.93,25.86,2025-02
2025-02-06,TikTok Ads,221,3711,203,6,251.45,5.47,2.96,1.09,36.83,1.14,2025-02
2025-02-06,Email,409,5853,335,24,1954.5,5.72,7.16,1.22,17.04,4.78,2025-02
2025-02-07,Google Ads,263,8715,167,5,527.1,1.92,2.99,1.57,52.6,2.0,2025-02
2025-02-07,Meta Ads,84,9942,262,10,558.19,2.64,3.82,0.32,8.4,6.65,2025-02
2025-02-07,TikTok Ads,498,16507,1074,54,5685.99,6.51,5.03,0.46,9.22,11.42,2025-02
2025-02-07,Email,276,16826,1311,120,16900.77,7.79,9.15,0.21,2.3,61.23,2025-02
2025-02-08,Google Ads,150,2762,78,2,299.4,2.82,2.56,1.92,75.0,2.0,2025-02
2025-02-08,Meta Ads,480,16850,488,5,169.47,2.9,1.02,0.98,96.0,0.35,2025-02
2025-02-08,TikTok Ads,180,13112,565,8,466.16,4.31,1.42,0.32,22.5,2.59,2025-02
2025-02-08,Email,306,13652,1076,98,6589.21,7.88,9.11,0.28,3.12,21.53,2025-02
2025-02-09,Google Ads,54,7122,205,13,1012.64,2.88,6.34,0.26,4.15,18.75,2025-02
2025-02-09,Meta Ads,267,1481,57,1,59.07,3.85,1.75,4.68,267.0,0.22,2025-02
2025-02-09,TikTok Ads,304,15536,1124,29,1578.14,7.23,2.58,0.27,10.48,5.19,2025-02
2025-02-09,Email,447,1153,11,0,0.0,0.95,0.0,40.64,,0.0,2025-02
2025-02-10,Google Ads,408,8617,110,2,280.45,1.28,1.82,3.71,204.0,0.69,2025-02
2025-02-10,Meta Ads,332,2524,131,12,427.67,5.19,9.16,2.53,27.67,1.29,2025-02
2025-02-10,TikTok Ads,442,3120,229,18,1271.84,7.34,7.86,1.93,24.56,2.88,2025-02
2025-02-10,Email,256,16048,428,22,1729.59,2.67,5.14,0.6,11.64,6.76,2025-02
2025-02-11,Google Ads,64,3343,143,12,704.18,4.28,8.39,0.45,5.33,11.0,2025-02
2025-02-11,Meta Ads,395,6136,254,8,843.72,4.14,3.15,1.56,49.38,2.14,2025-02
2025-02-11,TikTok Ads,91,2240,96,7,747.92,4.29,7.29,0.95,13.0,8.22,2025-02
2025-02-11,Email,429,1060,56,4,528.24,5.28,7.14,7.66,107.25,1.23,2025-02
2025-02-12,Google Ads,228,10130,434,18,2140.28,4.28,4.15,0.53,12.67,9.39,2025-02
2025-02-12,Meta Ads,112,19023,786,61,5801.64,4.13,7.76,0.14,1.84,51.8,2025-02
2025-02-12,TikTok Ads,401,13312,575,21,2277.04,4.32,3.65,0.7,19.1,5.68,2025-02
2025-02-12,Email,280,14350,737,27,1697.72,5.14,3.66,0.38,10.37,6.06,2025-02
2025-02-13,Google Ads,290,13418,638,12,1214.0,4.75,1.88,0.45,24.17,4.19,2025-02
2025-02-13,Meta Ads,101,2252,157,7,620.95,6.97,4.46,0.64,14.43,6.15,2025-02
2025-02-13,TikTok Ads,145,9363,126,9,414.01,1.35,7.14,1.15,16.11,2.86,2025-02
2025-02-13,Email,437,10650,727,68,4019.16,6.83,9.35,0.6,6.43,9.2,2025-02
2025-02-14,Google Ads,271,19706,1361,87,5655.28,6.91,6.39,0.2,3.11,20.87,2025-02
2025-02-14,Meta Ads,456,17314,518,45,6341.27,2.99,8.69,0.88,10.13,13.91,2025-02
2025-02-14,TikTok Ads,280,5090,215,18,1037.64,4.22,8.37,1.3,15.56,3.71,2025-02
2025-02-14,Email,286,7960,323,8,517.67,4.06,2.48,0.89,35.75,1.81,2025-02
2025-02-15,Google Ads,192,4004,101,5,371.61,2.52,4.95,1.9,38.4,1.94,2025-02
2025-02-15,Meta Ads,220,17713,669,13,1425.44,3.78,1.94,0.33,16.92,6.48,2025-02
2025-02-15,TikTok Ads,78,4640,60,4,176.75,1.29,6.67,1.3,19.5,2.27,2025-02
2025-02-15,Email,85,2341,68,6,866.84,2.9,8.82,1.25,14.17,10.2,2025-02
2025-02-16,Google Ads,62,12855,863,19,2543.5,6.71,2.2,0.07,3.26,41.02,2025-02
2025-02-16,Meta Ads,209,1338,40,3,297.8,2.99,7.5,5.22,69.67,1.42,2025-02
2025-02-16,TikTok Ads,376,6895,463,30,3326.54,6.72,6.48,0.81,12.53,8.85,2025-02
2025-02-16,Email,236,13254,625,39,1247.97,4.72,6.24,0.38,6.05,5.29,2025-02
2025-02-17,Google Ads,292,12344,883,39,2756.26,7.15,4.42,0.33,7.49,9.44,2025-02
2025-02-17,Meta Ads,135,2750,138,5,627.4,5.02,3.62,0.98,27.0,4.65,2025-02
2025-02-17,TikTok Ads,333,3421,41,0,0.0,1.2,0.0,8.12,,0.0,2025-02
2025-02-17,Email,115,8119,465,13,830.41,5.73,2.8,0.25,8.85,7.22,2025-02
2025-02-18,Google Ads,219,6319,83,0,0.0,1.31,0.0,2.64,,0.0,2025-02
2025-02-18,Meta Ads,94,16896,701,43,2613.09,4.15,6.13,0.13,2.19,27.8,2025-02
2025-02-18,TikTok Ads,111,12918,969,18,2557.39,7.5,1.86,0.11,6.17,23.04,2025-02
2025-02-18,Email,490,14849,320,28,1280.36,2.16,8.75,1.53,17.5,2.61,2025-02
2025-02-19,Google Ads,183,5873,219,12,1508.25,3.73,5.48,0.84,15.25,8.24,2025-02
2025-02-19,Meta Ads,333,5806,354,25,2273.85,6.1,7.06,0.94,13.32,6.83,2025-02
2025-02-19,TikTok Ads,77,9592,688,32,3841.27,7.17,4.65,0.11,2.41,49.89,2025-02
2025-02-19,Email,157,13182,750,45,3027.86,5.69,6.0,0.21,3.49,19.29,2025-02
2025-02-20,Google Ads,93,17774,498,47,4311.72,2.8,9.44,0.19,1.98,46.36,2025-02
2025-02-20,Meta Ads,389,13045,746,13,1726.66,5.72,1.74,0.52,29.92,4.44,2025-02
2025-02-20,TikTok Ads,335,5430,167,5,430.13,3.08,2.99,2.01,67.0,1.28,2025-02
2025-02-20,Email,495,9820,592,47,3438.82,6.03,7.94,0.84,10.53,6.95,2025-02
2025-02-21,Google Ads,380,5232,401,7,660.37,7.66,1.75,0.95,54.29,1.74,2025-02
2025-02-21,Meta Ads,177,12122,733,12,1393.0,6.05,1.64,0.24,14.75,7.87,2025-02
2025-02-21,TikTok Ads,397,16023,1128,47,3911.7,7.04,4.17,0.35,8.45,9.85,2025-02
2025-02-21,Email,280,9007,91,1,142.67,1.01,1.1,3.08,280.0,0.51,2025-02
2025-02-22,Google Ads,239,18905,1138,71,4642.94,6.02,6.24,0.21,3.37,19.43,2025-02
2025-02-22,Meta Ads,274,10018,681,20,1741.11,6.8,2.94,0.4,13.7,6.35,2025-02
2025-02-22,TikTok Ads,434,2500,32,2,241.66,1.28,6.25,13.56,217.0,0.56,2025-02
2025-02-22,Email,426,7737,549,44,4958.56,7.1,8.01,0.78,9.68,11.64,2025-02
2025-02-23,Google Ads,332,4294,120,8,1069.1,2.79,6.67,2.77,41.5,3.22,2025-02
2025-02-23,Meta Ads,495,19803,1120,73,10922.05,5.66,6.52,0.44,6.78,22.06,2025-02
2025-02-23,TikTok Ads,170,5497,362,31,2517.91,6.59,8.56,0.47,5.48,14.81,2025-02
2025-02-23,Email,165,18850,1062,31,1343.48,5.63,2.92,0.16,5.32,8.14,2025-02
2025-02-24,Google Ads,282,1614,26,2,67.3,1.61,7.69,10.85,141.0,0.24,2025-02
2025-02-24,Meta Ads,308,10374,536,43,5040.68,5.17,8.02,0.57,7.16,16.37,2025-02
2025-02-24,TikTok Ads,408,3667,177,13,1753.46,4.83,7.34,2.31,31.38,4.3,2025-02
2025-02-24,Email,247,14409,1052,63,3558.59,7.3,5.99,0.23,3.92,14.41,2025-02
2025-02-25,Google Ads,460,17514,670,21,1029.29,3.83,3.13,0.69,21.9,2.24,2025-02
2025-02-25,Meta Ads,186,3983,129,6,224.79,3.24,4.65,1.44,31.0,1.21,2025-02
2025-02-25,TikTok Ads,367,13651,853,69,8881.98,6.25,8.09,0.43,5.32,24.2,2025-02
2025-02-25,Email,214,9230,358,4,269.46,3.88,1.12,0.6,53.5,1.26,2025-02
2025-02-26,Google Ads,274,7640,421,33,2580.72,5.51,7.84,0.65,8.3,9.42,2025-02
2025-02-26,Meta Ads,356,12779,706,22,1987.26,5.52,3.12,0.5,16.18,5.58,2025-02
2025-02-26,TikTok Ads,283,16317,1177,27,3529.83,7.21,2.29,0.24,10.48,12.47,2025-02
2025-02-26,Email,221,18304,950,19,2053.9,5.19,2.0,0.23,11.63,9.29,2025-02
2025-02-27,Google Ads,201,8564,386,4,415.23,4.51,1.04,0.52,50.25,2.07,2025-02
2025-02-27,Meta Ads,364,16520,325,18,919.45,1.97,5.54,1.12,20.22,2.53,2025-02
2025-02-27,TikTok Ads,423,14737,266,7,641.08,1.8,2.63,1.59,60.43,1.52,2025-02
2025-02-27,Email,209,10323,214,21,2432.76,2.07,9.81,0.98,9.95,11.64,2025-02
2025-02-28,Google Ads,145,16229,357,22,3229.41,2.2,6.16,0.41,6.59,22.27,2025-02
2025-02-28,Meta Ads,282,12713,694,15,812.53,5.46,2.16,0.41,18.8,2.88,2025-02
2025-02-28,TikTok Ads,229,9502,587,42,1308.1,6.18,7.16,0.39,5.45,5.71,2025-02
2025-02-28,Email,162,1545,72,6,234.22,4.66,8.33,2.25,27.0,1.45,2025-02
2025-03-01,Google Ads,367,5346,363,27,2027.76,6.79,7.44,1.01,13.59,5.53,2025-03
2025-03-01,Meta Ads,491,10996,872,14,1798.52,7.93,1.61,0.56,35.07,3.66,2025-03
2025-03-01,TikTok Ads,101,16775,1130,102,3147.42,6.74,9.03,0.09,0.99,31.16,2025-03
2025-03-01,Email,317,14919,874,71,6021.34,5.86,8.12,0.36,4.46,18.99,2025-03
2025-03-02,Google Ads,344,4810,227,5,347.54,4.72,2.2,1.52,68.8,1.01,2025-03
2025-03-02,Meta Ads,435,8206,339,4,145.19,4.13,1.18,1.28,108.75,0.33,2025-03
2025-03-02,TikTok Ads,436,10005,159,9,756.26,1.59,5.66,2.74,48.44,1.73,2025-03
2025-03-02,Email,162,17371,659,15,908.55,3.79,2.28,0.25,10.8,5.61,2025-03
2025-03-03,Google Ads,150,13316,981,83,5994.77,7.37,8.46,0.15,1.81,39.97,2025-03
2025-03-03,Meta Ads,162,19416,1292,54,6192.39,6.65,4.18,0.13,3.0,38.22,2025-03
2025-03-03,TikTok Ads,489,9436,237,21,1944.31,2.51,8.86,2.06,23.29,3.98,2025-03
2025-03-03,Email,130,13984,596,36,1618.48,4.26,6.04,0.22,3.61,12.45,2025-03
2025-03-04,Google Ads,236,1271,85,2,290.74,6.69,2.35,2.78,118.0,1.23,2025-03
2025-03-04,Meta Ads,162,19155,281,6,637.86,1.47,2.14,0.58,27.0,3.94,2025-03
2025-03-04,TikTok Ads,51,11616,431,26,3169.51,3.71,6.03,0.12,1.96,62.15,2025-03
2025-03-04,Email,179,5361,373,29,1145.66,6.96,7.77,0.48,6.17,6.4,2025-03
2025-03-05,Google Ads,269,8069,308,24,855.53,3.82,7.79,0.87,11.21,3.18,2025-03
2025-03-05,Meta Ads,103,18304,282,9,291.0,1.54,3.19,0.37,11.44,2.83,2025-03
2025-03-05,TikTok Ads,392,4430,212,6,315.93,4.79,2.83,1.85,65.33,0.81,2025-03
2025-03-05,Email,273,13676,961,11,877.02,7.03,1.14,0.28,24.82,3.21,2025-03
2025-03-06,Google Ads,274,11816,606,43,6118.86,5.13,7.1,0.45,6.37,22.33,2025-03
2025-03-06,Meta Ads,434,3050,78,1,84.85,2.56,1.28,5.56,434.0,0.2,2025-03
2025-03-06,TikTok Ads,452,12692,468,22,1426.27,3.69,4.7,0.97,20.55,3.16,2025-03
2025-03-06,Email,175,2165,89,5,487.16,4.11,5.62,1.97,35.0,2.78,2025-03
2025-03-07,Google Ads,179,3033,153,14,608.05,5.04,9.15,1.17,12.79,3.4,2025-03
2025-03-07,Meta Ads,102,1145,72,2,206.28,6.29,2.78,1.42,51.0,2.02,2025-03
2025-03-07,TikTok Ads,221,15269,258,8,785.69,1.69,3.1,0.86,27.62,3.56,2025-03
2025-03-07,Email,267,8832,638,43,5376.68,7.22,6.74,0.42,6.21,20.14,2025-03
2025-03-08,Google Ads,209,15286,166,10,1484.03,1.09,6.02,1.26,20.9,7.1,2025-03
2025-03-08,Meta Ads,247,3632,130,5,300.52,3.58,3.85,1.9,49.4,1.22,2025-03
2025-03-08,TikTok Ads,465,5494,65,6,546.95,1.18,9.23,7.15,77.5,1.18,2025-03
2025-03-08,Email,296,16152,605,52,7231.32,3.75,8.6,0.49,5.69,24.43,2025-03
